+------------------+---------------+---------------+------------+
|     Language     | 2-letter code | 3-letter code | digit-code |
|    Татарский     |       tt      |      tat      |    660     |
|       Тви        |       tw      |      twi      |    670     |
|      Телугу      |       te      |      tel      |    675     |
|    Тибетский     |       bo      |      bod      |    680     |
|     Тигринья     |       ti      |      tir      |    683     |
|    Тонганский    |       to      |      ton      |    686     |
|      Тсвана      |       tn      |      tsn      |    688     |
|      Тсонга      |       ts      |      tso      |    689     |
|     Турецкий     |       tr      |      tur      |    693     |
|   Туркменский    |       tk      |      tuk      |    695     |
|    Узбекский     |       uz      |      uzb      |    710     |
|    Уйгурский     |       ug      |      uig      |    715     |
|    Украинский    |       uk      |      ukr      |    720     |
|       Урду       |       ur      |      urd      |    730     |
|    Фарерский     |       fo      |      fao      |    735     |
|      Фиджи       |       fj      |      fij      |    737     |
|   Филиппинский   |       fl      |      fil      |    636     |
| Финский (Suomi)  |       fi      |      fin      |    740     |
|   Французский    |       fr      |      fra      |    745     |
|     Фризский     |       fy      |      fry      |    750     |
|      Фулах       |       ff      |      ful      |    752     |
|      Хауса       |       ha      |      hau      |    761     |
|      Хинди       |       hi      |      hin      |    770     |
|     Хиримоту     |       ho      |      hmo      |    772     |
|     Чаморро      |       ch      |      cha      |    782     |
|    Чеченский     |       ce      |      che      |    785     |
|     Чешский      |       cs      |      ces      |    790     |
|    Чжуанский     |       za      |      zha      |    791     |
|    Чувашский     |       cv      |      chv      |    795     |
|     Шведский     |       sv      |      swe      |    805     |
|       Шона       |       sn      |      sna      |    807     |
|       Эве        |       ee      |      ewe      |    820     |
|    Эсперанто     |       eo      |      epo      |    845     |
|    Эстонский     |       et      |      est      |    850     |
|     Яванский     |       jv      |      jav      |    860     |
|     Японский     |       ja      |      jpn      |    870     |
+------------------+---------------+---------------+------------+
